invoice_id,invoice_date,invoice_time,city,product_line_name,customer_type,gender,payment_method,quantity,unit_price,total_amount,gross_income,rating
750-67-8428,2019-01-05,13:08:00,Yangon,Health and beauty,Member,Female,Ewallet,7,74.69,548.97,26.14,9.1
226-31-3081,2019-03-08,10:29:00,Naypyitaw,Electronic accessories,Normal,Female,Cash,5,15.28,80.22,3.82,9.6
631-41-3108,2019-03-03,13:23:00,Yangon,Home and lifestyle,Normal,Male,Credit card,7,46.33,340.53,16.22,7.4
123-19-1176,2019-01-27,20:33:00,Yangon,Health and beauty,Member,Male,Ewallet,8,58.22,489.05,23.29,8.4
373-73-7910,2019-02-08,10:37:00,Yangon,Sports and travel,Normal,Male,Ewallet,7,86.31,634.38,30.21,5.3
699-14-3026,2019-03-25,18:30:00,Naypyitaw,Electronic accessories,Normal,Male,Ewallet,7,85.39,627.62,29.89,4.1
355-53-5943,2019-02-25,14:36:00,Yangon,Electronic accessories,Member,Female,Ewallet,6,68.84,433.69,20.65,5.8
315-22-5665,2019-02-24,11:38:00,Naypyitaw,Home and lifestyle,Normal,Female,Ewallet,10,73.56,772.38,36.78,8.0
665-32-9167,2019-01-10,17:15:00,Yangon,Health and beauty,Member,Female,Credit card,2,36.26,76.15,3.63,7.2
692-92-5582,2019-02-20,13:27:00,Mandalay,Food and beverages,Member,Female,Credit card,3,54.84,172.75,8.23,5.9
351-62-0822,2019-02-06,18:07:00,Mandalay,Fashion accessories,Member,Female,Ewallet,4,14.48,60.82,2.9,4.5
529-56-3974,2019-03-09,17:03:00,Mandalay,Electronic accessories,Member,Male,Cash,4,25.51,107.14,5.1,6.8
365-64-0515,2019-02-12,10:25:00,Yangon,Electronic accessories,Normal,Female,Ewallet,5,46.95,246.49,11.74,7.1
252-56-2699,2019-02-07,16:48:00,Yangon,Food and beverages,Normal,Male,Ewallet,10,43.19,453.5,21.6,8.2
829-34-3910,2019-03-29,19:21:00,Yangon,Health and beauty,Normal,Female,Cash,10,71.38,749.49,35.69,5.7
299-46-1805,2019-01-15,16:19:00,Mandalay,Sports and travel,Member,Female,Cash,6,93.72,590.44,28.12,4.5
656-95-9349,2019-03-11,11:03:00,Yangon,Health and beauty,Member,Female,Credit card,7,68.93,506.64,24.13,4.6
765-26-6951,2019-01-01,10:39:00,Yangon,Sports and travel,Normal,Male,Credit card,6,72.61,457.44,21.78,6.9
329-62-1586,2019-01-21,18:00:00,Yangon,Food and beverages,Normal,Male,Credit card,3,54.67,172.21,8.2,8.6
319-50-3348,2019-03-11,15:30:00,Mandalay,Home and lifestyle,Normal,Female,Ewallet,2,40.3,84.63,4.03,4.4
300-71-4605,2019-02-25,11:24:00,Naypyitaw,Electronic accessories,Member,Male,Ewallet,5,86.04,451.71,21.51,4.8
371-85-5789,2019-03-05,10:40:00,Mandalay,Health and beauty,Normal,Male,Ewallet,3,87.98,277.14,13.2,5.1
273-16-6619,2019-03-15,12:20:00,Mandalay,Home and lifestyle,Normal,Male,Credit card,2,33.2,69.72,3.32,4.4
636-48-8204,2019-02-17,11:15:00,Yangon,Electronic accessories,Normal,Male,Ewallet,5,34.56,181.44,8.64,9.9
549-59-1358,2019-03-02,17:36:00,Yangon,Sports and travel,Member,Male,Ewallet,3,88.63,279.18,13.29,6.0
227-03-5010,2019-03-22,19:20:00,Yangon,Home and lifestyle,Member,Female,Credit card,8,52.59,441.76,21.04,8.5
649-29-6775,2019-02-08,15:31:00,Mandalay,Fashion accessories,Normal,Male,Cash,1,33.52,35.2,1.68,6.7
189-17-4241,2019-03-10,12:17:00,Yangon,Fashion accessories,Normal,Female,Credit card,2,87.67,184.11,8.77,7.7
145-94-9061,2019-01-25,19:48:00,Mandalay,Food and beverages,Normal,Female,Cash,5,88.36,463.89,22.09,9.6
848-62-7243,2019-03-15,15:36:00,Yangon,Health and beauty,Normal,Male,Cash,9,24.89,235.21,11.2,7.4
871-79-8483,2019-02-25,19:39:00,Mandalay,Fashion accessories,Normal,Male,Credit card,5,94.13,494.18,23.53,4.8
149-71-6266,2019-01-28,12:43:00,Mandalay,Sports and travel,Member,Male,Cash,9,78.07,737.76,35.13,4.5
640-49-2076,2019-01-10,14:49:00,Mandalay,Sports and travel,Normal,Male,Cash,8,83.78,703.75,33.51,5.1
595-11-5460,2019-03-15,10:12:00,Yangon,Health and beauty,Normal,Male,Credit card,2,96.58,202.82,9.66,5.1
183-56-6882,2019-02-06,10:42:00,Naypyitaw,Food and beverages,Member,Female,Ewallet,4,99.42,417.56,19.88,7.5
232-16-2483,2019-01-07,12:28:00,Naypyitaw,Sports and travel,Member,Female,Ewallet,1,68.12,71.53,3.41,6.8
129-29-8530,2019-03-10,19:15:00,Yangon,Sports and travel,Member,Male,Ewallet,5,62.62,328.76,15.66,7.0
272-65-1806,2019-01-15,17:17:00,Yangon,Electronic accessories,Normal,Female,Ewallet,9,60.88,575.32,27.4,4.7
333-73-7901,2019-03-23,13:24:00,Naypyitaw,Health and beauty,Normal,Female,Ewallet,8,54.92,461.33,21.97,7.6
777-82-7220,2019-03-03,13:01:00,Mandalay,Home and lifestyle,Member,Male,Cash,8,30.12,253.01,12.05,7.7
280-35-5823,2019-01-17,18:45:00,Mandalay,Home and lifestyle,Member,Female,Ewallet,1,86.72,91.06,4.34,7.9
554-53-8700,2019-02-02,10:11:00,Naypyitaw,Home and lifestyle,Member,Male,Cash,2,56.11,117.83,5.61,6.3
354-25-5821,2019-02-08,13:03:00,Mandalay,Sports and travel,Member,Female,Cash,6,69.12,435.46,20.74,5.6
228-96-1411,2019-03-04,20:39:00,Naypyitaw,Food and beverages,Member,Female,Cash,8,98.7,829.08,39.48,7.6
617-15-4209,2019-03-16,19:47:00,Naypyitaw,Health and beauty,Member,Male,Cash,2,15.37,32.28,1.54,7.2
132-32-9879,2019-03-09,18:00:00,Mandalay,Electronic accessories,Member,Female,Cash,4,93.96,394.63,18.79,9.5
370-41-7321,2019-02-27,17:24:00,Mandalay,Health and beauty,Member,Male,Credit card,9,56.69,535.72,25.51,8.4
727-46-3608,2019-02-06,15:47:00,Mandalay,Food and beverages,Member,Female,Ewallet,9,20.01,189.09,9.0,4.1
669-54-1719,2019-02-10,12:45:00,Mandalay,Electronic accessories,Member,Male,Credit card,6,18.93,119.26,5.68,8.1
574-22-5561,2019-03-19,17:08:00,Naypyitaw,Fashion accessories,Member,Female,Ewallet,10,82.63,867.62,41.32,7.9
326-78-5178,2019-02-03,10:19:00,Naypyitaw,Food and beverages,Member,Male,Cash,7,91.4,671.79,31.99,9.5
162-48-8011,2019-02-10,15:10:00,Yangon,Food and beverages,Member,Female,Cash,5,44.59,234.1,11.15,8.5
616-24-2851,2019-03-22,14:42:00,Mandalay,Fashion accessories,Member,Female,Ewallet,4,17.87,75.05,3.57,6.5
778-71-5554,2019-01-25,15:46:00,Naypyitaw,Fashion accessories,Member,Male,Credit card,1,15.43,16.2,0.77,6.1
242-55-6721,2019-03-07,11:49:00,Mandalay,Home and lifestyle,Normal,Male,Ewallet,2,16.16,33.94,1.62,6.5
399-46-5918,2019-02-28,19:01:00,Naypyitaw,Electronic accessories,Normal,Female,Cash,8,85.98,722.23,34.39,8.2
106-35-6779,2019-03-27,11:26:00,Yangon,Home and lifestyle,Member,Male,Cash,2,44.34,93.11,4.43,5.8
635-40-6220,2019-02-07,11:28:00,Yangon,Health and beauty,Normal,Male,Ewallet,8,89.6,752.64,35.84,6.6
817-48-8732,2019-01-20,15:55:00,Yangon,Home and lifestyle,Member,Female,Cash,10,72.35,759.68,36.18,5.4
120-06-4233,2019-03-12,20:36:00,Naypyitaw,Electronic accessories,Normal,Male,Cash,6,30.61,192.84,9.18,9.3
285-68-5083,2019-02-15,17:47:00,Naypyitaw,Sports and travel,Member,Female,Credit card,3,24.74,77.93,3.71,10.0
803-83-5989,2019-02-24,10:55:00,Naypyitaw,Home and lifestyle,Normal,Male,Ewallet,6,55.73,351.1,16.72,7.0
347-34-2234,2019-02-03,13:40:00,Mandalay,Sports and travel,Member,Female,Ewallet,9,55.07,520.41,24.78,10.0
199-75-8169,2019-03-06,12:27:00,Yangon,Sports and travel,Member,Male,Credit card,10,15.81,166.01,7.91,8.6
853-23-2453,2019-02-14,14:35:00,Mandalay,Health and beauty,Member,Male,Cash,4,75.74,318.11,15.15,7.6
877-22-3308,2019-03-13,16:40:00,Yangon,Health and beauty,Member,Male,Cash,10,15.87,166.64,7.94,5.8
838-78-4295,2019-02-10,15:43:00,Naypyitaw,Health and beauty,Normal,Female,Ewallet,2,33.47,70.29,3.35,6.7
109-28-2512,2019-01-07,15:01:00,Mandalay,Fashion accessories,Member,Female,Ewallet,6,97.61,614.94,29.28,9.9
232-11-3025,2019-01-24,10:04:00,Yangon,Sports and travel,Normal,Male,Cash,10,78.77,827.09,39.39,6.4
382-03-4532,2019-02-02,18:50:00,Yangon,Health and beauty,Member,Female,Cash,1,18.33,19.25,0.92,4.3
393-65-2792,2019-01-06,12:46:00,Naypyitaw,Food and beverages,Normal,Male,Credit card,10,89.48,939.54,44.74,9.6
796-12-2025,2019-02-11,16:19:00,Naypyitaw,Fashion accessories,Normal,Male,Cash,10,62.12,652.26,31.06,5.9
510-95-6347,2019-03-05,18:17:00,Mandalay,Food and beverages,Member,Female,Ewallet,3,48.52,152.84,7.28,4.0
841-35-6630,2019-03-09,18:21:00,Naypyitaw,Electronic accessories,Normal,Female,Cash,6,75.91,478.23,22.77,8.7
287-21-9091,2019-01-22,10:55:00,Yangon,Home and lifestyle,Normal,Male,Ewallet,9,74.67,705.63,33.6,9.4
732-94-0499,2019-01-13,17:04:00,Naypyitaw,Electronic accessories,Normal,Female,Credit card,10,41.65,437.33,20.83,5.4
263-10-3913,2019-01-09,14:20:00,Naypyitaw,Fashion accessories,Member,Male,Credit card,9,49.04,463.43,22.07,8.6
381-20-0914,2019-01-12,15:48:00,Yangon,Fashion accessories,Member,Female,Credit card,9,20.01,189.09,9.0,5.7
829-49-1914,2019-03-05,16:24:00,Naypyitaw,Food and beverages,Member,Female,Ewallet,10,78.31,822.26,39.16,6.6
756-01-7507,2019-01-22,18:56:00,Naypyitaw,Health and beauty,Normal,Female,Cash,5,20.38,107.0,5.1,6.0
870-72-4431,2019-01-21,14:42:00,Naypyitaw,Health and beauty,Normal,Female,Credit card,6,99.19,624.9,29.76,5.5
847-38-7188,2019-01-26,19:56:00,Mandalay,Food and beverages,Normal,Female,Ewallet,3,96.68,304.54,14.5,6.4
480-63-2856,2019-01-23,18:37:00,Naypyitaw,Food and beverages,Normal,Male,Ewallet,8,19.25,161.7,7.7,6.6
787-56-0757,2019-02-23,18:45:00,Naypyitaw,Food and beverages,Member,Female,Credit card,4,80.36,337.51,16.07,8.3
360-39-5055,2019-03-09,10:17:00,Naypyitaw,Sports and travel,Member,Male,Cash,5,48.91,256.78,12.23,6.6
730-50-9884,2019-03-05,14:31:00,Naypyitaw,Sports and travel,Normal,Female,Ewallet,7,83.06,610.49,29.07,4.0
362-58-8315,2019-03-25,10:23:00,Naypyitaw,Fashion accessories,Normal,Male,Cash,5,76.52,401.73,19.13,9.9
633-44-8566,2019-03-27,20:35:00,Yangon,Food and beverages,Member,Male,Credit card,7,49.38,362.94,17.28,7.3
504-35-8843,2019-01-02,16:57:00,Yangon,Sports and travel,Normal,Male,Cash,1,42.47,44.59,2.12,5.7
318-68-5053,2019-02-27,17:55:00,Mandalay,Health and beauty,Normal,Female,Cash,6,76.99,485.04,23.1,6.1
565-80-5980,2019-01-23,10:25:00,Naypyitaw,Home and lifestyle,Member,Female,Cash,4,47.38,199.0,9.48,7.1
225-32-0908,2019-01-26,19:54:00,Naypyitaw,Sports and travel,Normal,Female,Ewallet,10,44.86,471.03,22.43,8.2
873-51-0671,2019-01-10,16:42:00,Yangon,Sports and travel,Member,Female,Ewallet,7,21.98,161.55,7.69,5.1
152-08-9985,2019-03-12,12:09:00,Mandalay,Health and beauty,Member,Male,Credit card,9,64.36,608.2,28.96,8.6
512-91-0811,2019-02-06,20:05:00,Naypyitaw,Health and beauty,Normal,Male,Credit card,1,89.75,94.24,4.49,6.6
594-34-4444,2019-03-08,20:38:00,Yangon,Electronic accessories,Normal,Male,Ewallet,1,97.16,102.02,4.86,7.2
766-85-7061,2019-03-29,10:25:00,Mandalay,Health and beauty,Normal,Male,Ewallet,10,87.87,922.64,43.94,5.1
871-39-9221,2019-02-09,13:11:00,Naypyitaw,Electronic accessories,Normal,Female,Cash,6,12.45,78.44,3.74,4.1
865-92-6136,2019-03-23,10:16:00,Yangon,Food and beverages,Normal,Male,Ewallet,3,52.75,166.16,7.91,9.3
733-01-9107,2019-03-05,18:14:00,Mandalay,Home and lifestyle,Normal,Male,Cash,6,82.7,521.01,24.81,7.4
163-56-7055,2019-03-26,19:20:00,Naypyitaw,Fashion accessories,Member,Male,Cash,1,48.71,51.15,2.44,4.1
189-98-2939,2019-03-01,13:22:00,Naypyitaw,Fashion accessories,Normal,Male,Cash,9,78.55,742.3,35.35,7.2
551-21-3069,2019-02-01,11:27:00,Naypyitaw,Electronic accessories,Normal,Female,Cash,9,23.07,218.01,10.38,4.9
212-62-1842,2019-03-28,16:44:00,Yangon,Food and beverages,Normal,Male,Cash,6,58.26,367.04,17.48,9.9
716-39-1409,2019-03-19,18:19:00,Mandalay,Health and beauty,Normal,Male,Cash,7,30.35,223.07,10.62,8.0
704-48-3927,2019-01-12,14:50:00,Yangon,Electronic accessories,Member,Male,Ewallet,10,88.67,931.04,44.34,7.3
628-34-3388,2019-01-05,20:54:00,Naypyitaw,Fashion accessories,Normal,Male,Credit card,6,27.38,172.49,8.21,7.9
